EmploymentRate,PoliceDistrict,Year
65.1,מחוז שי,2023
57.7,מחוז דרומי,2023
66.1,מחוז צפון,2023
58.2,מחוז מרכז,2023
60.9,מחוז חוף,2023
51.5,מחוז ירושלים,2023
66.6,מחוז תא,2023
64,מחוז שי,2022
57.7,מחוז דרומי,2022
66.5,מחוז מרכז,2022
56.2,מחוז צפון,2022
60.3,מחוז חוף,2022
49.6,מחוז ירושלים,2022
67.2,מחוז תא,2022
64.1,מחוז שי,2021
55.3,מחוז דרומי,2021
65.3,מחוז מרכז,2021
52,מחוז צפון,2021
58.5,מחוז חוף,2021
47.5,מחוז ירושלים,2021
65.1,מחוז תא,2021
65.2,מחוז שי,2020
56.9,מחוז דרומי,2020
65.3,מחוז מרכז,2020
52.9,מחוז צפון,2020
53.3,מחוז חוף,2020
48.9,מחוז ירושלים,2020
64.6,מחוז תא,2020
61.3,כל המחוזות,2023
60.9,כל המחוזות,2022
58.7,כל המחוזות,2021
59.1,כל המחוזות,2020
